Module,Operation Name,HTTP Method,Path
Activation,confirmEmail:,POST,"""/api/v2/activation/email/confirm"""
Activation,requestActivationEmail:,POST,"""/api/v2/activation/email/request"""
ACP_CreatorAgreement,listCreatorAgreement:,GET,"""/api/acp/v2/creatoragreement/list"""
ACP_CreatorAgreement,getCreatorAgreement:,GET,"""/api/acp/v2/creatoragreement"""
ACP_CreatorAgreement,editCreatorAgreement:,GET,"""/api/acp/v2/creatoragreement/edit"""
ACP_Creator,getCreatorList:,GET,"""/api/acp/v2/creator/list"""
ACP_Creator,getCreatorDetails:,GET,"""/api/acp/v2/creator/"""
ACP_Creator,getSubscriptionPlanList:,GET,"""/api/acp/v2/creator/subscriptionplans/list"""
ACP_Creator,checkCreatorURLAvailable:,GET,"""/api/acp/v2/creator/urlname/availability"""
ACP_Creator,getCreatorCategories:,GET,"""/api/acp/v2/creator/category/list"""
ACP_Creator,createCreator:,POST,"""/api/acp/v2/creator/create"""
ACP_Creator,uploadCover:,POST,"""/api/acp/v2/creator/cover/upload"""
ACP_Creator,getCreatorsTitles:,GET,"""/api/acp/v2/creator/titles"""
ACP_Creator,updateCreator:,POST,"""/api/acp/v2/creator/update"""
ACP_Creator,updateCreatorSubscriptionPlan:,POST,"""/api/acp/v2/creator/subscriptionplan/update"""
ACP_Creator,uploadCard:,POST,"""/api/acp/v2/creator/card/upload"""
ACP_Creator,uploadIcon:,POST,"""/api/acp/v2/creator/icon/upload"""
ACP_Creator,getCreatorInviteCodeList:,GET,"""/api/acp/v3/creator/invite/list"""
ACP_Creator,createCreatorInviteCode:,POST,"""/api/acp/v3/creator/invite/create"""
ACP_Dashboard,getJobStatus:,GET,"""/api/acp/v2/dashboard/job/status/"""
ACP_Dashboard,startJob:,POST,"""/api/acp/v2/dashboard/job/start/"""
ACP_Dashboard,stopJob:,POST,"""/api/acp/v2/dashboard/job/stop/"""
ACP_FAQ,getFaqSections:,GET,"""/api/acp/v2/section/list"""
ACP_FAQ,updateFaqSection:,POST,"""/api/acp/v2/section/edit"""
ACP_FAQ,getFaqSectionDetails:,GET,"""/api/acp/v2/section/"""
ACP_FAQ,getFaqArticleDetails:,GET,"""/api/acp/v2/article/"""
ACP_FAQ,updateFaqArticle:,POST,"""/api/acp/v2/article/edit"""
ACP_FAQ,uploadFaqImage:,POST,"""/api/acp/v2/image/upload"""
ACP_FAQ,getFaqImages:,POST,"""/api/acp/v2/image/list"""
ACP_FAQ,createFaqSection:,POST,"""/api/acp/v2/section/create"""
ACP_FAQ,createFaqArticle:,POST,"""/api/acp/v2/article/create"""
ACP_Feature,getFeatureConfigs:,GET,"""/api/acp/v2/feature/configs"""
ACP_Feature,saveFeature:,POST,"""/api/acp/v2/feature/save"""
ACP_Feature,saveFeatureDependencies:,POST,"""/api/acp/v2/feature/dependencies/save"""
ACP_Feature,saveFeatureCategory:,POST,"""/api/acp/v2/feature/category/save"""
ACP_Feature,saveFeatureType:,POST,"""/api/acp/v2/feature/type/save"""
ACP_Feature,saveFeatureResolution:,POST,"""/api/acp/v2/feature/resolution/save"""
ACP_Moderator,getModeratorList:,GET,"""/api/acp/v2/moderator/list"""
ACP_Moderator,createModerator:,POST,"""/api/acp/v2/moderator/create"""
ACP_Moderator,updateGlobalModerator:,POST,"""/api/acp/v2/moderator/update/global"""
ACP_Moderator,removeCreatorModerator:,POST,"""/api/acp/v2/moderator/creator/remove"""
ACP_Moderator,addCreatorModerator:,POST,"""/api/acp/v2/moderator/creator/add/"""
ACP_Moderator,getModeratorAvailableCreators:,GET,"""/api/acp/v2/moderator/creator/available"""
ACP_Moderator,getModeratorCreators:,GET,"""/api/acp/v2/moderator/creator/list/"""
ACP_User,getUserList:,GET,"""/api/acp/v2/user/list"""
ACP_User,getUserDetails:,GET,"""/api/acp/v2/user/"""
ACP_User,searchUserForModeration:,GET,"""/api/acp/v2/user/list/notmoderator"""
ACP_User,findUser:,GET,"""/api/acp/v2/user/find"""
ACP_User,createAdmin:,POST,"""/api/acp/v2/user/admin/create"""
ACP_User,addUserSubscriptions:,POST,"""/api/acp/v2/user/subscription/add"""
ACP_User,checkUsernameAvailable:,GET,"""/api/acp/v2/user/username/availability"""
ACP_User,checkEmailAvailable:,GET,"""/api/acp/v2/user/email/availability"""
ACP_User,uploadAvatar:,POST,"""/api/acp/v2/user/avatar/upload"""
ACP_User,updateUser:,POST,"""/api/acp/v2/user/edit"""
ACP_User,getUserSubscriptions:,GET,"""/api/acp/v2/user/usersubscription/list"""
ACP_User,removeUserSubscription:,POST,"""/api/acp/v2/user/usersubscription/delete"""
ACP_User,updateAdministrator:,POST,"""/api/acp/v2/user/administrator/update"""
ACP_User,deleteUser:,POST,"""/api/acp/v2/user/delete"""
ACP_User,signup:,POST,"""/api/acp/v2/user/create"""
ACP_User,listUserInvoices:,GET,"""/api/acp/v2/user/payment/invoice/list"""
ACP_User,getPaymentProcessorData:,GET,"""/api/acp/v2/user/payment/processor/data"""
ACP_User,scheduleDeletion:,POST,"""/api/acp/v3/user/delete"""
ACP_User,unscheduleDeletion:,POST,"""/api/acp/v3/user/undelete"""
ACP_User,getSubjectAccessData:,GET,"""/api/acp/v3/user/sar"""
Administration,addGlobalModerator:,POST,"""/api/v2/administration/moderators/global/add"""
Administration,removeGlobalModerator:,POST,"""/api/v2/administration/moderators/global/remove"""
Administration,removeModerator:,POST,"""/api/v2/administration/moderators/remove"""
Administration,getModerator:,GET,"""/api/v2/administration/moderators/get/:user"""
Administration,listModerators:,GET,"""/api/v2/administration/moderators/list"""
Auth,login:,POST,"""/api/v2/auth/login"""
Auth,logout:,POST,"""/api/v2/auth/logout"""
Auth,beginSpoofing:,POST,"""/api/v2/auth/spoof/begin"""
Auth,endSpoofing:,POST,"""/api/v2/auth/spoof/end"""
Auth,signup:,POST,"""/api/v2/auth/signup"""
Auth,checkFor2faLogin:,POST,"""/api/v2/auth/checkFor2faLogin"""
Auth,getCaptchaInfo:,GET,"""/api/v3/auth/captcha/info"""
BrainTree,generateClientToken:,GET,"""/api/v2/payment/braintree/token"""
CDN,getDeliveryInfo:,GET,"""/api/v2/cdn/delivery"""
ConnectedAccounts,connect:,GET,"""/api/v2/connect/:site"""
ConnectedAccounts,callback:,GET,"""/api/v2/connect/:site/callback"""
ConnectedAccounts,complete:,POST,"""/api/v2/connect/complete"""
ConnectedAccounts,refresh:,POST,"""/api/v2/connect/refresh"""
ConnectedAccounts,dissociate:,POST,"""/api/v2/connect/dissociate"""
ConnectedAccounts,listConnections:,GET,"""/api/v2/connect/list"""
CreatorAdministration,addCreatorModerator:,POST,"""/api/v2/creator/administration/moderators/add"""
CreatorAdministration,addCreatorModeratorByPath:,POST,"""/api/v2/creators/:creator/administration/moderators/add"""
CreatorAdministration,removeCreatorModerator:,POST,"""/api/v2/creator/administration/moderators/remove"""
CreatorAdministration,removeCreatorModeratorByPath:,POST,"""/api/v2/creators/:creator/administration/moderators/remove"""
CreatorAdministration,listModerators:,GET,"""/api/v2/creator/administration/moderators/list"""
CreatorAdministration,listModeratorsByPath:,GET,"""/api/v2/creators/:creator/administration/moderators/list"""
Creator,getInfo:,GET,"""/api/v2/creator/info"""
Creator,getInfoByName:,GET,"""/api/v2/creator/named"""
Creator,listVideos:,GET,"""/api/v2/creator/videos"""
Creator,listPlaylists:,GET,"""/api/v2/creator/playlists"""
Creator,listCreators:,GET,"""/api/v2/creator/list"""
Creator,discoverCreators:,GET,"""/api/v2/creator/discover"""
Creator,listCreatorCategories:,GET,"""/api/v2/creatorcategory/list"""
Creator,updateSocialLinks:,POST,"""/api/v2/creator/social/update"""
Creator,getSocialLinks:,GET,"""/api/v2/creator/social/get"""
Creator,updateChannelImage:,POST,"""/api/v2/creator/image/update"""
Creator,updateChannelInfo:,POST,"""/api/v2/creator/info/update"""
Creator,getChannelInfo:,GET,"""/api/v2/creator/info/get"""
Creator,getCreator:,GET,"""/api/v3/creator/info"""
Creator,getCreators:,GET,"""/api/v3/creator/list"""
